ID,Name,Value
1,Item1,100
2,Item2,200
3,Item3,300
4,Item4,400
5,Item5,500
6,Item6,600
7,Item7,700
8,Item8,800
9,Item9,900
10,Item10,1000
11,Item11,1100
12,Item12,1200
13,Item13,1300
14,Item14,1400
15,Item15,1500
16,Item16,1600
17,Item17,1700
18,Item18,1800
19,Item19,1900
20,Item20,2000
21,Item21,2100
22,Item22,2200
23,Item23,2300
24,Item24,2400
25,Item25,2500
26,Item26,2600
27,Item27,2700
28,Item28,2800
29,Item29,2900
30,Item30,3000
31,Item31,3100
32,Item32,3200
33,Item33,3300
34,Item34,3400
35,Item35,3500
36,Item36,3600
37,Item37,3700
38,Item38,3800
39,Item39,3900
40,Item40,4000
41,Item41,4100
42,Item42,4200
43,Item43,4300
44,Item44,4400
45,Item45,4500
46,Item46,4600
47,Item47,4700
48,Item48,4800
49,Item49,4900
50,Item50,5000
51,Item51,5100
52,Item52,5200
53,Item53,5300
54,Item54,5400
55,Item55,5500
56,Item56,5600
57,Item57,5700
58,Item58,5800
59,Item59,5900
60,Item60,6000
61,Item61,6100
62,Item62,6200
63,Item63,6300
64,Item64,6400
65,Item65,6500
66,Item66,6600
67,Item67,6700
68,Item68,6800
69,Item69,6900
70,Item70,7000
71,Item71,7100
72,Item72,7200
73,Item73,7300
74,Item74,7400
75,Item75,7500
76,Item76,7600
77,Item77,7700
78,Item78,7800
79,Item79,7900
80,Item80,8000
81,Item81,8100
82,Item82,8200
83,Item83,8300
84,Item84,8400
85,Item85,8500
86,Item86,8600
87,Item87,8700
88,Item88,8800
89,Item89,8900
90,Item90,9000
91,Item91,9100
92,Item92,9200
93,Item93,9300
94,Item94,9400
95,Item95,9500
96,Item96,9600
97,Item97,9700
98,Item98,9800
99,Item99,9900
100,Item100,10000
